Bin Center, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days
51000,0,0.008022,0,0.00846,0,,0,0.010754,0.009558,0,0,0.01529
51200,0.014421,0.008022,0,0.00846,0,,0,0,0,0,0,0.01529
51400,0,0,0,0,0,,0.019689,0,0,0,0.02375,0.005097
51600,0,0,0,0,0,,0,0,0,0,0.007917,0.010193
51800,0,0.008022,0,0,0.013483,,0,0,0,0.012394,0.007917,0.005097
52000,0.014421,0.008022,0,0,0,,0,0,0,0,0,0
52200,0,0.008022,0,0.00846,0,,0,0,0,0.012394,0,0
52400,0,0,0,0.00846,0,,0,0,0,0,0,0.005097
52600,0,0.008022,0.018706,0,0.013483,,0,0,0,0,0,0
52800,0,0.008022,0.018706,0,0,,0,0.010754,0,0.012394,0.007917,0.005097
53000,0.014421,0.016044,0,0,0.013483,,0,0,0.009558,0,0,0
53200,0.028842,0,0,0,0,,0,0,0,0,0.007917,0.010193
53400,0.014421,0.016044,0,0.00846,0,,0.019689,0,0.028675,0,0.007917,0
53600,0.014421,0.008022,0,0.00846,0,,0,0.010754,0,0,0.015833,0.005097
53800,0,0.008022,0,0.00846,0,,0,0,0,0,0.015833,0.005097
54000,0.014421,0,0.018706,0.00846,0,,0,0,0,0.012394,0.007917,0
54200,0.014421,0,0,0,0,,0,0.010754,0.019117,0,0.007917,0.005097
54400,0,0,0,0,0,,0,0,0,0,0.007917,0.005097
54600,0,0.016044,0,0,0.013483,,0,0,0,0.012394,0,0.005097
54800,0.014421,0,0,0,0,,0,0,0,0,0.007917,0
