Bin Center,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,p53 het,p53 het,p53 het,p53 het,p53 het,p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het
27800,0,0.048646,0,0.011528,0.00673,,0,0.010586,0.035919,0,,,0.085697898,0.025767416,0.028032264,,,,,,,,,
28000,0.079141,0,0.030526,0.011528,0.013459,,0,0.021172,0.01796,0.021024405,,,0.034279159,0,0,,,,,,,,,
28200,0.039571,0,0,0.028821,0.026918,,0,0.010586,0.01796,0.010512203,,,0.068558318,0,0,,,,,,,,,
28400,0,0,0,0.011528,0.013459,,0,0.010586,0.035919,0.010512203,,,0.01713958,0,0.056064528,,,,,,,,,
28600,0.079141,0,0.015263,0.023056,0.00673,,0,0.031758,0,0.021024405,,,0.051418739,0.025767416,0.056064528,,,,,,,,,
28800,0,0,0,0.011528,0.013459,,0,0.021172,0,0.010512203,,,0.051418739,0,0.014016132,,,,,,,,,
29000,0,0.048646,0.015263,0.023056,0.00673,,0,0.010586,0.035919,0,,,0,0,0.056064528,,,,,,,,,
29200,0,0.048646,0,0.017292,0.013459,,0.041326,0,0.01796,0.010512203,,,0.01713958,0.051534831,0.042048396,,,,,,,,,
29400,0,0,0,0.017292,0.00673,,0,0.021172,0,0.010512203,,,0.068558318,0,0.042048396,,,,,,,,,
29600,0.039571,0,0,0,0.00673,,0,0.021172,0.01796,0.010512203,,,0,0,0.014016132,,,,,,,,,
29800,0,0,0.030526,0.011528,0.013459,,0,0,0,0.010512203,,,0.034279159,0,0.014016132,,,,,,,,,
30000,0.039571,0,0.030526,0,0,,0,0.010586,0,0.010512203,,,0.034279159,0,0.028032264,,,,,,,,,
30200,0,0,0,0.011528,0.013459,,0,0.010586,0,0,,,0.01713958,0,0.056064528,,,,,,,,,
