Bin Center,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,Kras,Kras,Kras,Kras,Kras,Kras,over,over,over,over,over,over,time,time,time,time,time,time
46400,0.050361977,,0,0,0.007379829,,0.050361977,0,0,0,,,,,,,,,,,,,,
46600,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,
46800,0,,0.037608812,0.015176882,0.007379829,,0,0,0.037608812,0.015176882,,,,,,,,,,,,,,
47000,0,,0.012536271,0,0.007379829,,0,0,0.012536271,0,,,,,,,,,,,,,,
47200,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,
47400,0,,0,0.015176882,0,,0,0,0,0.015176882,,,,,,,,,,,,,,
47600,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
47800,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,
48000,,,,,,,0,0,0,0,,,,,,,,,,,,,,
48200,,,,,,,0,0,0.012536271,0,,,,,,,,,,,,,,
48400,,,,,,,0,0,0,0.015176882,,,,,,,,,,,,,,
48600,,,,,,,0,0,0,0,,,,,,,,,,,,,,
48800,,,,,,,0,0,0,0,,,,,,,,,,,,,,
49000,,,,,,,0,0,0.012536271,0,,,,,,,,,,,,,,
49200,,,,,,,0.012590494,0,0,0,,,,,,,,,,,,,,
